Date,Opponent,Result,OPS,WHIP,ERA-
3/27,BAL,L,.523,2.11,306
3/28,BAL,W,.950,0.78,51
3/29,BAL,L,.737,1.44,229
3/30,BAL,W,.640,1.22,25
3/31,WSN,W,.951,0.89,51
4/1,WSN,W,.780,1.11,76
4/2,WSN,W,.867,0.78,51
4/4,NYM,L,.643,0.78,0
4/5,NYM,L,.722,1.56,51
4/6,NYM,L,.619,,
4/7,BOS,W,.490,,
4/8,BOS,W,.522,1.56,71
4/9,BOS,W,.307,0.73,19
4/10,BOS,L,.570,1.10,43
4/12,BAL,L,.619,1.67,103
4/13,BAL,W,.719,1.80,139
4/14,ATL,L,.535,1.11,204
4/15,ATL,W,.716,1.11,76
4/16,ATL,W,.762,0.89,25
4/18,SEA,W,,,
4/19,SEA,L,.665,1.50,134
4/20,SEA,L,.798,1.56,204
4/21,HOU,L,.843,0.33,0
4/22,HOU,L,.847,0.44,26
4/23,HOU,L,.893,0.78,26
4/25,NYY,W,.757,1.22,90
4/27,NYY,L,1.055,1.44,25
4/27,NYY,L,.864,0.78,25
4/29,BOS,L,.479,1.89,255
4/30,BOS,W,.833,1.20,138
5/1,BOS,W,,,
5/2,CLE,W,.718,1.11,76
5/3,CLE,L,.758,0.78,127
5/4,CLE,L,.580,2.00,127
5/6,LAA,L,.905,1.11,74
5/7,LAA,L,.925,1.56,89
5/8,LAA,W,.689,2.33,178
5/9,SEA,W,.579,1.44,161
5/10,SEA,W,.518,1.67,161
5/11,SEA,W,.486,2.00,241
5/13,TBR,L,1.116,1.56,280
5/14,TBR,W,.648,1.00,25
5/15,TBR,L,.857,1.67,204
5/16,DET,L,.820,1.56,127
5/17,DET,W,.466,0.67,25
5/18,DET,L,.525,1.56,76
5/20,SDP,W,.545,0.67,0
5/21,SDP,W,.997,0.56,0
5/22,SDP,W,.749,1.09,83
5/23,TBR,L,.851,1.33,24
5/24,TBR,L,.432,1.22,26
5/25,TBR,L,1.070,0.56,0
5/26,TEX,W,.406,1.33,50
5/27,TEX,L,.465,1.11,0
5/28,TEX,W,.165,1.22,50
5/29,ATH,W,1.294,0.67,0
5/30,ATH,W,1.179,1.56,178
5/31,ATH,W,1.138,1.78,178
6/1,ATH,W,.950,1.56,102
