Date,Opponent,Result,OPS,WHIP,opp_OPS,opp_WHIP
3/27,BAL,L,.523,2.11,1.291,1.00
3/28,BAL,W,.950,0.78,.413,2.13
3/29,BAL,L,.737,1.44,1.033,1.44
3/30,BAL,W,.640,1.22,.583,1.13
3/31,WSN,W,.951,0.89,.572,1.63
4/1,WSN,W,.780,1.11,.576,1.75
4/2,WSN,W,.867,0.78,.502,1.50
4/4,NYM,L,.643,0.78,.399,1.00
4/5,NYM,L,.722,1.56,.683,1.27
4/6,NYM,L,.619,1.00,.482,1.25
4/7,BOS,W,.490,2.00,.797,1.00
4/8,BOS,W,.522,1.56,.673,1.00
4/9,BOS,W,.307,0.73,.382,0.45
4/10,BOS,L,.570,1.10,.543,1.24
4/12,BAL,L,.619,1.67,.905,0.75
4/13,BAL,W,.719,1.80,.935,1.10
4/14,ATL,L,.535,1.11,.854,0.78
4/15,ATL,W,.716,1.11,.778,1.13
4/16,ATL,W,.762,0.89,.479,1.25
4/18,SEA,W,.549,0.78,.603,1.13
4/19,SEA,L,.665,1.50,.755,1.33
4/20,SEA,L,.798,1.56,.921,1.67
4/21,HOU,L,.843,0.33,.169,1.75
4/22,HOU,L,.847,0.44,.301,1.50
4/23,HOU,L,.893,0.78,.425,1.75
4/25,NYY,W,.757,1.22,.736,1.56
4/27,NYY,L,1.055,1.44,.676,2.50
4/27,NYY,L,.864,0.78,.419,1.38
4/29,BOS,L,.479,1.89,1.159,0.78
4/30,BOS,W,.833,1.20,.746,1.50
5/1,BOS,W,.748,0.89,.478,1.00
5/2,CLE,W,.718,1.11,.762,1.50
5/3,CLE,L,.758,0.78,.528,1.44
5/4,CLE,L,.580,2.00,.752,1.11
5/6,LAA,L,.905,1.11,.742,1.50
5/7,LAA,L,.925,1.56,.737,1.80
5/8,LAA,W,.689,2.33,.930,1.11
5/9,SEA,W,.579,1.44,.790,1.22
5/10,SEA,W,.518,1.67,.736,0.78
5/11,SEA,W,.486,2.00,1.034,0.67
5/13,TBR,L,1.116,1.56,.921,1.67
5/14,TBR,W,.648,1.00,.515,1.13
5/15,TBR,L,.857,1.67,1.067,1.11
5/16,DET,L,.820,1.56,.921,1.22
5/17,DET,W,.466,0.67,.504,1.04
5/18,DET,L,.525,1.56,.764,1.22
5/20,SDP,W,.545,0.67,.381,0.63
5/21,SDP,W,.997,0.56,.424,2.13
5/22,SDP,W,.749,1.09,.664,1.84
5/23,TBR,L,.851,1.33,.512,1.25
5/24,TBR,L,.432,1.22,.596,0.63
5/25,TBR,L,1.070,0.56,.305,2.38
5/26,TEX,W,.406,1.33,.710,0.56
5/27,TEX,L,.465,1.11,.483,1.00
5/28,TEX,W,.165,1.22,.669,0.44
5/29,ATH,W,1.294,0.67,.354,2.88
5/30,ATH,W,1.179,1.56,.970,3.25
5/31,ATH,W,1.138,1.78,.974,1.50
6/1,ATH,W,.950,1.56,.699,1.75
6/3,PHI,L,,,,
